Title,Main Goal,Author,Days Per Week,Equiptment Required,Workout Type,Training Level,Target Gender,Summary,Image
Power Hypertrophy Upper Lower (P.H.U.L.) Workout,Build Muscle,Brandon Campbell,4,"Barbell, Dumbbells, Machines",Split,Intermediate,"
						Male & Female						
					",Build both size and strength in this 4 day split based around basic compound movements. Get the best of both worlds with bodybuilding and powerlifting.,https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/power-hypertrophy-upper-lower-phul.jpg
Jason Blaha's Ice Cream Fitness 5x5 Novice Program,Build Muscle,Jason Blaha,3,"Barbell, Cables, EZ Bar",Full Body,Beginner,"
						Male & Female						
					",A potent and proven novice muscle and strength building program from Jason Blaha & Ice Cream Fitness. Testimonials continue to pour in touting it's effectiveness.,
10 Week Mass Building Program,Build Muscle,M&S Writers,4,"Barbell, Bodyweight, Dumbbells, Machines",Split,Advanced,"
						Male & Female						
					",This workout is designed to increase your muscle mass as much as possible in 10 weeks. Works each muscle group hard once per week using mostly heavy compound exercises.,https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/10weekmass.jpg
"6 Day Push, Pull, Legs Powerbuilding Split & Meal Plan",Build Muscle,Nick Ludlow,6,"Barbell, Bodyweight, Dumbbells, Machines",Split,Intermediate,"
						Male & Female						
					","Hungry for some serious gym time and crazy gains? Nick Ludlow helps you to go heavy, go hard and improve your results with this intense, high volume rest-pause workout.",https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/power8.jpg
Dumbbell Only Home Or Gym Full Body Workout,Build Muscle,M&S Team,3,"Bodyweight, Dumbbells",Full Body,Beginner,"
						Male & Female						
					",Short on equipment? No worries! This dumbbell only workout can be used at home or in the gym for building muscle mass. You can also use this as a muscle shock workout to mix things up.,https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/dumb800.jpg
4 Day Power Muscle Burn Workout Split,Build Muscle,M&S Team,4,"Barbell, Cables, Dumbbells, EZ Bar, Machines",Split,Intermediate,"
						Male & Female						
					","This building workout is designed to maximize Progression and muscle gains by hitting each muscle group with power sets, muscle sets and burn sets.",https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/pmbheader.jpg
4 Day Maximum Mass Workout,Build Muscle,M&S Team,4,"Barbell, Bodyweight, Dumbbells, Machines",Split,Intermediate,"
						Male & Female						
					","A mass building routine that features a great combination of effective compound and isolation movements along with intense, high impact five minute burn sets.",https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/maximum-mass-workout.jpg
Dougs 4 Day Split Workout,Build Muscle,Doug Lawrenson,4,"Barbell, Cables, Dumbbells, EZ Bar, Machines",Split,Intermediate,"
						Male & Female						
					",This muscle building workout is a tried and tested M&S muscle building staple! This workout was developed by trainer and forum member Doug Lawrenson.,
3 Day Workout For Beginners,Build Muscle,M&S Writers,3,"Barbell, Bodyweight, Cables, Dumbbells, Machines",Split,Beginner,"
						Male & Female						
					",New to weight training? This workout is for you. Designed to hit each muscle group with the big compound exercises once per week. Each workout day has 3-5 exercises. ,https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/beginners-workout.jpg
Frankoman's Dumbbell Only Split,Build Muscle,M&S Writers,3,Dumbbells,Split,Beginner,"
						Male & Female						
					",A dumbbell only workout for home or the gym that will pack on muscle mass. This routine design by Frankoman from the M&S forum.,
Power Muscle Burn 5 Day Powerbuilding Split,Build Muscle,M&S Team,5,"Barbell, Cables, Dumbbells, Machines",Split,Intermediate,"
						Male & Female						
					","Rapidly build size and strength with this powerbuilding 5 day split which focuses on strength building power sets, and crazy-intense burn sets. You have been warned!",
Dumbbell & Barbell Mass Workout,Build Muscle,M&S Writers,5,"Barbell, Bodyweight, Dumbbells",Split,Intermediate,"
						Male & Female						
					","Looking to add muscle mass? Using only dumbbells and barbells, this workout hits each muscle group hard once a week over a 5 day schedule.",https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/barbell800.jpg
Shaun's 3 Day Muscle Building Split Workout,Build Muscle,Shaun McEwan,3,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines",Split,Intermediate,"
						Male & Female						
					",Shaun's 3 day split workout is a solid routine for those who are looking to pack on some pounds! It features a chest & biceps day as well as a legs & shoulders day.,
Shredded by Summer: 8 Weeks to Your Best Body Ever,Lose Fat,Eric Bach,3,"Bands, Barbell, Cables, Kettle Bells, Medicine Ball",Split,Intermediate,"
						Male & Female						
					",It's time to get serious about your summer body. This 8 week workout and nutrition plan will help you get shredded for this years summer vacation.,https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/8-weeks-to-shred-feature.jpg
Upper/Lower 4 Day Gym Bodybuilding Split Workout,Build Muscle,M&S Team,4,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines",Split,Beginner,"
						Male & Female						
					","Reach your muscle building goals with this balanced 4 day training split that mixes heavy compound exercises, machines, cables and incorporates 3 second negatives.",
HIML-4 Maximum Muscle Building Workout System,Build Muscle,Ian Coleman,4,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines",Split,Intermediate,"
						Male & Female						
					","HIML-4 is a highly effective four week muscle building workout system that cycles between heavy days, intense workouts, and moderate to light weight training days.",https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/hmil800.jpg
The Squeeze Method For Building A Big Defined Chest,Build Muscle,M&S Team,1,"Dumbbells, Machines",Single Muscle Group,Intermediate,"
						Male & Female						
					","The Muscle & Strength team travels to Columbus, OH and learns about the squeeze method from MuscleTech Athlete, Santi Aragon. Give this method a shot!",https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/squeeze-method-feature.jpg
The Tactical Physique: A Functional Strength & Conditioning Workout,General Fitness,Brad Borland,4,"Barbell, Bodyweight, Dumbbells, Other",Split,Intermediate,"
						Male & Female						
					","Build a body that performs as good as it looks. This 5 day program by Brad Borland features functional full body workouts, supersets, bodyweight and conditioning work.",https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/tact800.jpg
Doug's Mass Building Routine for Ectomorphs,Build Muscle,Doug Lawrenson,4,"Barbell, Bodyweight, Dumbbells, Machines",Split,Intermediate,"
						Male & Female						
					",Althought this routine is designed for a person who‰Ûªs body type is described as Ectomorph; it can be also be used by all body types as a change their current workout.,
Compound Exercises Only Workout,Build Muscle,M&S Writers,4,"Barbell, Bodyweight, Cables, Dumbbells",Split,Intermediate,"
						Male & Female						
					",This workout uses only compound exercises. Compound exercises are movements that require more than 1 joint and more than 1 muscle group.,
Get Ripped in 8 Weeks! HIET Fat Loss Workout & Nutrition Program,Lose Fat,Team AML,6,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Exercise Ball, Machines",Split,Intermediate,"
						Male & Female						
					",Step your game up and get shredded for summer with this 8 week workout! Combine HIET and HIIT to accelerate your results and get shredded for the beach!,https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/hiet-feature1.jpg
Intermediate Muscle Building Workout,Build Muscle,M&S Writers,5,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines",Split,Intermediate,"
						Male & Female						
					",Shock your muscle into growth by rotating this workout with your current routine. This workout hits each major muscle group twice per week. ,
Body Like A God: A Complete Bodyweight Muscle Building Plan,Build Muscle,Brad Borland,4,Bodyweight,Full Body,Beginner,"
						Male & Female						
					",Get back to basics and build muscle at home with this classic bodyweight training system. This is a flexible training system that focuses on the use of exercise complexes.,
Muscle & Strength Full Body Workout Routine,Build Muscle,M&S Team,3,"Barbell, Bodyweight, Dumbbells",Full Body,Beginner,"
						Male & Female						
					","This M&S mass building routine is perfect for lifters who want to give full body workouts a try. All major muscle groups are trained, and the program includes a 20 rep set of squats.",https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/ms_full_body_workout.jpg
Fast 21 Workout: 3 Weeks To A Lean & Shredded Physique,Build Muscle,Team BPI,6,"Bands, Barbell, Bodyweight, Cables, Dumbbells, Machines, Other",Split,Intermediate,"
						Male & Female						
					","The Fast 21 Workout Program is designed to ensure maximum fat loss while gaining lean muscle, all within 3 weeks!",https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/fast21-header.jpg
18 Week Chin Up & Dip Program For An Impressive Upper Body,Build Muscle,Eric Brown,4,"Bodyweight, Other",Single Muscle Group,Beginner,"
						Male & Female						
					",Chin ups and dips are 2 overlooked but important bodyweight exercises. This 18 week workout protocol features a single training day dedicated to these movements.,https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/dipchin.jpg
8 Week Chest And Back Specialization Workout Routine,Build Muscle,M&S Team,4,"Barbell, Bodyweight, Dumbbells, Machines",Split,Beginner,"
						Male & Female						
					",This back and chest specialization workout is performed 2 days per week and combines a day of heavy compound movements along with a second rest-pause day.,
Total Body Beatdown: A German Volume Training Routine,Build Muscle,Coach Dustin Myers,3,"Barbell, Bodyweight, Cables, Dumbbells, Machines",Full Body,Intermediate,"
						Male & Female						
					","Whether you only have time to make it to the gym a few times during the week or you want to annihilate your entire body, we've got the workout for you!",https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/gvt-feature.jpg
Dumbbell & Barbell Home Based Workout,Build Muscle,M&S Writers,3,"Barbell, Dumbbells",Split,Intermediate,"
						Male & Female						
					",Dumbbell and barbell home workout. This is a workout you can do at home just using a set of dumbbells and barbells. The workout is designed to build muscle and strength.,
Jason Momoa's Workout: Accelerated Results 7 (AR-7) Training,Build Muscle,Brad Borland,5,"Barbell, Bodyweight, Cables, Dumbbells, Other",Full Body,Intermediate,"
						Male & Female						
					",Learn how the AR-7 program helped Game of Thrones actor Jason Momoa put on the major muscle needed to portray the great Khal Drogo.,https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/khal_game_of_thrones_workout_routine.jpg
Muscle & Strength's 30 Day Workout Plan For Women,Build Muscle,Brad Borland,6,"Barbell, Bodyweight, Dumbbells, Other",Full Body,Beginner,"
						Female						
					","Looking for the best place to start working towards a leaner, solid, and stronger body? This thorough workout routine is specifically designed to get you there!",https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/complete_full_body_womens_workout_routine.jpg
12 Week Beginners Training Routine,Build Muscle,Doug Lawrenson,2,"Barbell, Bodyweight, Cables, Dumbbells, Machines",Full Body,Beginner,"
						Male & Female						
					",A twelve week full body beginners routine designed to get your body ready for an intense split routine. Includes a detailed week by week plan.,https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/12feature.jpg
